종목코드,종목명,날짜,종가,전일비,시가,고가,저가,거래량
365550,ESR켄달스퀘어리츠,2022.06.02,6860.0,90.0,6820.0,6910.0,6770.0,186013.0
365550,ESR켄달스퀘어리츠,2022.05.31,6770.0,120.0,6850.0,6950.0,6770.0,899057.0
365550,ESR켄달스퀘어리츠,2022.05.30,6890.0,140.0,7010.0,7010.0,6870.0,255673.0
365550,ESR켄달스퀘어리츠,2022.05.27,7030.0,220.0,6930.0,7030.0,6860.0,872432.0
365550,ESR켄달스퀘어리츠,2022.05.26,6810.0,40.0,6770.0,6900.0,6760.0,477661.0
365550,ESR켄달스퀘어리츠,2022.05.25,6770.0,60.0,6700.0,6880.0,6700.0,294647.0
365550,ESR켄달스퀘어리츠,2022.05.24,6710.0,60.0,6660.0,6790.0,6650.0,453995.0
365550,ESR켄달스퀘어리츠,2022.05.23,6650.0,140.0,6700.0,6740.0,6650.0,284245.0
365550,ESR켄달스퀘어리츠,2022.05.20,6790.0,40.0,6830.0,6850.0,6730.0,204690.0
365550,ESR켄달스퀘어리츠,2022.05.19,6830.0,30.0,6750.0,6850.0,6660.0,425026.0
365550,ESR켄달스퀘어리츠,2022.05.18,6800.0,50.0,6840.0,6870.0,6760.0,192442.0
365550,ESR켄달스퀘어리츠,2022.05.17,6850.0,70.0,6920.0,6980.0,6790.0,382186.0
365550,ESR켄달스퀘어리츠,2022.05.16,6920.0,60.0,6800.0,7030.0,6800.0,411345.0
365550,ESR켄달스퀘어리츠,2022.05.13,6860.0,190.0,6620.0,7060.0,6620.0,846320.0
365550,ESR켄달스퀘어리츠,2022.05.12,6670.0,30.0,6600.0,6790.0,6600.0,211846.0
365550,ESR켄달스퀘어리츠,2022.05.11,6700.0,80.0,6660.0,6770.0,6560.0,200712.0
365550,ESR켄달스퀘어리츠,2022.05.10,6620.0,200.0,6720.0,6730.0,6600.0,300201.0
365550,ESR켄달스퀘어리츠,2022.05.09,6820.0,120.0,6890.0,6890.0,6750.0,200850.0
365550,ESR켄달스퀘어리츠,2022.05.06,6940.0,40.0,6880.0,6980.0,6830.0,127530.0
365550,ESR켄달스퀘어리츠,2022.05.04,6980.0,0.0,6930.0,6980.0,6710.0,228308.0
365550,ESR켄달스퀘어리츠,2022.05.03,6980.0,220.0,7210.0,7210.0,6880.0,412968.0
365550,ESR켄달스퀘어리츠,2022.05.02,7200.0,130.0,7170.0,7230.0,7110.0,301967.0
365550,ESR켄달스퀘어리츠,2022.04.29,7330.0,200.0,7120.0,7330.0,7060.0,419966.0
365550,ESR켄달스퀘어리츠,2022.04.28,7130.0,70.0,7200.0,7240.0,6970.0,499112.0
365550,ESR켄달스퀘어리츠,2022.04.27,7200.0,90.0,7260.0,7290.0,7160.0,439258.0
365550,ESR켄달스퀘어리츠,2022.04.26,7290.0,40.0,7270.0,7290.0,7230.0,598167.0
365550,ESR켄달스퀘어리츠,2022.04.25,7250.0,20.0,7200.0,7250.0,7140.0,528685.0
365550,ESR켄달스퀘어리츠,2022.04.22,7230.0,30.0,7200.0,7300.0,7160.0,252900.0
365550,ESR켄달스퀘어리츠,2022.04.21,7200.0,90.0,7220.0,7320.0,7200.0,334764.0
365550,ESR켄달스퀘어리츠,2022.04.20,7290.0,110.0,7180.0,7290.0,7160.0,609120.0
365550,ESR켄달스퀘어리츠,2022.04.19,7180.0,70.0,7110.0,7180.0,7100.0,198404.0
365550,ESR켄달스퀘어리츠,2022.04.18,7110.0,230.0,7290.0,7290.0,7110.0,424537.0
365550,ESR켄달스퀘어리츠,2022.04.15,7340.0,210.0,7070.0,7350.0,6990.0,591536.0
365550,ESR켄달스퀘어리츠,2022.04.14,7130.0,120.0,7020.0,7150.0,7000.0,295545.0
365550,ESR켄달스퀘어리츠,2022.04.13,7010.0,50.0,6980.0,7020.0,6900.0,304241.0
365550,ESR켄달스퀘어리츠,2022.04.12,6960.0,0.0,6960.0,7000.0,6880.0,416337.0
